CustomerID,Name,Phone,Address,City,Operating System
1,Kavya Reddy,9193214172,"Koramangala, Delhi",Delhi,Android
2,Siddharth Joshi,1628503012,"Civil Lines, Jaipur",Bangalore,Android
3,Neha Joshi,6430427670,"Civil Lines, Hyderabad",Bangalore,Android
4,Siddharth Mehta,2645852001,"MG Road, Jaipur",Pune,Android
5,Rajesh Reddy,2428071930,"Koramangala, Pune",Pune,Android
6,Amit Khan,190541137,"Gachibowli, Mumbai",Surat,Android
7,Siddharth Reddy,8936103237,"Gachibowli, Jaipur",Chennai,Android
8,Ishani Pandey,6107304510,"Satellite, Ahmedabad",Delhi,Android
9,Aarav Mehta,772118191,"Koramangala, Ahmedabad",Delhi,Android
10,Ananya Chopra,1694228116,"Andheri West, Hyderabad",Kolkata,Android
11,Rajesh Pandey,8478848980,"Gachibowli, Ahmedabad",Bangalore,Android
12,Rohit Singh,4559839849,"Andheri West, Hyderabad",Pune,Android
13,Aarav Sharma,9412974585,"Koramangala, Jaipur",Mumbai,Android
14,Rajesh Singh,8990988243,"Koramangala, Pune",Mumbai,Android
15,Rajesh Chopra,1481868737,"Malviya Nagar, Hyderabad",Bangalore,Android
16,Rajesh Mehta,4672353920,"Civil Lines, Hyderabad",Bangalore,Android
17,Rohit Pandey,4625735153,"Malviya Nagar, Delhi",Ahmedabad,Android
18,Rohit Khan,9123848204,"Satellite, Jaipur",Bangalore,Android
19,Rajesh Khan,295343848,"Gachibowli, Pune",Hyderabad,Android
20,Amit Pandey,1026389909,"Malviya Nagar, Bangalore",Hyderabad,iOS
21,Ishani Reddy,2508355230,"Malviya Nagar, Hyderabad",Mumbai,Android
22,Ananya Patel,1797224182,"Civil Lines, Hyderabad",Bangalore,Android
23,Kavya Chopra,7825409281,"Koramangala, Mumbai",Hyderabad,Android
24,Pooja Reddy,3411593260,"MG Road, Ahmedabad",Delhi,Android
25,Neha Mehta,2553167252,"Andheri West, Mumbai",Mumbai,Android
26,Siddharth Mehta,9123856567,"Satellite, Jaipur",Pune,Android
27,Rohit Mehta,2418889877,"Satellite, Jaipur",Ahmedabad,Android
28,Kavya Reddy,5435837231,"Civil Lines, Delhi",Hyderabad,Android
29,Kavya Khan,3267207003,"Andheri West, Delhi",Pune,Android
30,Ishani Pandey,5888593917,"Andheri West, Delhi",Bangalore,Android
31,Pooja Reddy,1821354737,"Satellite, Mumbai",Delhi,Android
32,Siddharth Khan,6714583573,"Satellite, Delhi",Mumbai,Android
33,Pooja Singh,5356402137,"MG Road, Ahmedabad",Jaipur,Android
34,Neha Khan,4571657261,"Andheri West, Pune",Delhi,Android
